Survey Report,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Report Date:,,,31-Jan-20,,,,,,Survey Calc Method:,,,Minimum Curvature                 ,,,
Client:,,,Oil Search Ltd,,,,,,DLS:,,,LUBINSKI,,,
Field:,,,Gobe, South East Gobe,,,,,,Vertical Section Azimuth:,,,199.43,,
Site:,,,Gobe X,,,,,,Vertical Section Origin:,,,0.00  N  m 0.00  E  m ,,,
Well:,,,Gobe Footwall 1,,,,,,TVD Reference Datum:,,,RT                                ,,,
Wellbore:,,,Gobe Footwall 1 ST1,,,,,,TVD Reference Elevation:,,,1286.37 m Above Mean Sea Level ,,,
Name:,,,Gobe Footwall 1 ST1,,,,,,Seabed/Ground Level Elevation:,,,1278.77 m Below Mean Sea Level ,,,
UWI/API number:,,, ,,,,,,Magnetic Declination (+E/W-):,,,4.64,,,
Geodetic system:,,,Universal Transverse Mercator,,,,,,Magnetic Field Strength:,,,41585.07,,,
Geodetic datum:,,,Australian Geodetic 1966,,,,,,Magnetic Dip:,,,-28.87,,,
Geodetic Zone:,,,Zone 54S (138 E to 144 E),,,,,,Declination Date:,,,13-Dec-19,,,
LAT/LONG:,,,6° 45' 32.115 S 143° 41' 45.835 E ,,,,,,Magnetic Model:,,,BGGM2019,,,
Northings/Eastings:,,, 9252073.14 N   798042.13 E ,,,,,,North Reference:,,,Grid,,,
Grid convergence (+E/W-).:,,,-0.32,,,,,,Total Corr. Mag North to Grid North:,,,4.96,,,
,,,,,,,,,Local Co-ords referenced to:,,,Well,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MD,Inc,Azi,TVD,TVDSS,V.Sec,+N/S-,+E/W-,DLS,BUILD,TURN,NORTHING,EASTING,LATITUDE,LONGITUDE,Comments
(m),(deg),(deg),   m    ,   m    ,   m    ,   m    ,   m    ,dega/30m,dega/30m,dega/30m,m,m,DD:MM:SS,DD:MM:SS,
,,,,,,,,,,,,,,,
765.84,15.14,186.36,756.35,-530.02,84.79,-88.45,-4.13,0.98,0.49,-3.3,9251984.69,798038,  6° 45' 34.99 S,143° 41' 45.72 E,    
795.72,15.4,189.13,785.17,-501.2,92.49,-96.25,-5.19,0.78,0.26,2.78,9251976.89,798036.94,  6° 45' 35.25 S,143° 41' 45.68 E,    
825.56,15.12,192.85,813.96,-472.41,100.26,-103.95,-6.69,1.02,-0.28,3.74,9251969.19,798035.44,  6° 45' 35.50 S,143° 41' 45.64 E,    
855.43,15.19,193.37,842.79,-443.58,108.02,-111.56,-8.46,0.15,0.07,0.52,9251961.58,798033.67,  6° 45' 35.75 S,143° 41' 45.58 E,    
885.2,15.46,194.99,871.5,-414.87,115.85,-119.19,-10.39,0.51,0.27,1.63,9251953.95,798031.74,  6° 45' 35.99 S,143° 41' 45.52 E,    
914.99,14.74,190.56,900.27,-386.1,123.56,-126.75,-12.11,1.37,-0.73,-4.46,9251946.39,798030.02,  6° 45' 36.24 S,143° 41' 45.46 E,    
944.73,14.97,188.93,929.01,-357.36,131.07,-134.26,-13.4,0.48,0.23,-1.64,9251938.88,798028.73,  6° 45' 36.49 S,143° 41' 45.42 E,    
974.45,14.72,191.39,957.74,-328.63,138.58,-141.75,-14.74,0.68,-0.25,2.48,9251931.39,798027.39,  6° 45' 36.73 S,143° 41' 45.38 E,    
1004.3,14.63,195.06,986.62,-299.75,146.1,-149.11,-16.47,0.94,-0.09,3.69,9251924.03,798025.66,  6° 45' 36.97 S,143° 41' 45.33 E,    
1054.71,15.72,193.59,1035.27,-251.1,159.24,-161.9,-19.73,0.69,0.65,-0.87,9251911.24,798022.4,  6° 45' 37.39 S,143° 41' 45.22 E,    
1093.94,15.92,194.12,1073.01,-213.36,169.88,-172.28,-22.29,0.19,0.15,0.41,9251900.86,798019.84,  6° 45' 37.72 S,143° 41' 45.14 E,    
1123.8,16.36,194.13,1101.7,-184.67,178.15,-180.33,-24.32,0.44,0.44,0.01,9251892.81,798017.81,  6° 45' 37.99 S,143° 41' 45.08 E,    
1153.69,16.55,192.58,1130.36,-156.01,186.57,-188.57,-26.27,0.48,0.19,-1.56,9251884.57,798015.86,  6° 45' 38.25 S,143° 41' 45.01 E,    
1183.56,16.21,190.04,1159.02,-127.35,194.91,-196.83,-27.92,0.8,-0.34,-2.55,9251876.31,798014.21,  6° 45' 38.52 S,143° 41' 44.96 E,    
1213.46,16.32,187.97,1187.72,-98.65,203.14,-205.1,-29.23,0.59,0.11,-2.08,9251868.04,798012.9,  6° 45' 38.79 S,143° 41' 44.92 E,    
1241.93,16.23,184.17,1215.05,-71.32,210.9,-213.03,-30.08,1.13,-0.09,-4,9251860.11,798012.05,  6° 45' 39.05 S,143° 41' 44.89 E,    
1263.2,16.27,183.52,1235.47,-50.9,216.63,-218.96,-30.48,0.26,0.06,-0.92,9251854.18,798011.65,  6° 45' 39.24 S,143° 41' 44.88 E,    
1272.35,14.54,188.66,1244.29,-42.08,218.99,-221.38,-30.73,7.22,-5.67,16.85,9251851.76,798011.4,  6° 45' 39.32 S,143° 41' 44.87 E,    
1301.37,12.39,197.02,1272.52,-13.85,225.68,-227.96,-32.19,2.99,-2.22,8.64,9251845.18,798009.94,  6° 45' 39.54 S,143° 41' 44.83 E,    
1328.04,12.32,202.09,1298.57,12.2,231.38,-233.33,-34.1,1.22,-0.08,5.7,9251839.81,798008.03,  6° 45' 39.71 S,143° 41' 44.77 E,    
1356.94,13.31,204.33,1326.75,40.38,237.78,-239.22,-36.63,1.15,1.03,2.33,9251833.92,798005.5,  6° 45' 39.90 S,143° 41' 44.69 E,    
1385.86,15.82,212.09,1354.74,68.37,244.94,-245.59,-40.09,3.29,2.6,8.05,9251827.55,798002.04,  6° 45' 40.11 S,143° 41' 44.57 E,    
1414.74,19.85,214.79,1382.23,95.86,253.52,-252.96,-44.98,4.27,4.19,2.8,9251820.18,797997.15,  6° 45' 40.35 S,143° 41' 44.42 E,    
1443.61,21.89,214.46,1409.2,122.83,263.44,-261.42,-50.83,2.12,2.12,-0.34,9251811.72,797991.3,  6° 45' 40.63 S,143° 41' 44.23 E,    
1472.48,24.22,212.67,1435.77,149.4,274.41,-270.85,-57.07,2.53,2.42,-1.86,9251802.29,797985.06,  6° 45' 40.94 S,143° 41' 44.03 E,    
1501.28,27.53,209.62,1461.68,175.31,286.71,-281.61,-63.55,3.72,3.45,-3.18,9251791.53,797978.58,  6° 45' 41.29 S,143° 41' 43.82 E,    
1530.18,30.89,207.3,1486.9,200.53,300.64,-294.01,-70.26,3.68,3.49,-2.41,9251779.13,797971.87,  6° 45' 41.69 S,143° 41' 43.60 E,    
1559.13,33.14,207.03,1511.44,225.07,315.84,-307.67,-77.26,2.34,2.33,-0.28,9251765.47,797964.87,  6° 45' 42.14 S,143° 41' 43.38 E,    
1588.06,36.35,207.44,1535.21,248.84,332.18,-322.32,-84.81,3.34,3.33,0.43,9251750.82,797957.32,  6° 45' 42.62 S,143° 41' 43.13 E,    
