MD,INCL,AZIMUTH,TVD,TVDSS,N(+),E(+),VS,DL/100',UTM X,UTM Y
1434.300,2.320,263.300,1431.625,-79.532,49.337,39.327,-10.089,5.201,744476.087,9287366.496,
1439.300,3.240,263.330,1436.619,-84.526,49.309,39.086,-9.893,5.520,744475.846,9287366.468,
1444.300,4.070,262.240,1441.609,-89.516,49.269,38.770,-9.637,4.997,744475.530,9287366.427,
1449.300,4.630,262.870,1446.594,-94.501,49.220,38.394,-9.333,3.372,744475.154,9287366.378,
1454.300,5.030,264.220,1451.576,-99.484,49.172,37.975,-8.992,2.495,744474.735,9287366.331,
1459.300,5.330,265.540,1456.556,-104.463,49.132,37.526,-8.620,1.937,744474.286,9287366.291,
1463.500,5.540,265.790,1460.737,-108.644,49.102,37.129,-8.289,1.510,744473.889,9287366.261,
1473.460,5.850,263.860,1470.648,-118.555,49.013,36.145,-7.475,1.097,744472.905,9287366.172,
1492.700,6.280,268.920,1489.780,-137.688,48.888,34.118,-5.769,1.069,744470.878,9287366.047,
1521.850,6.540,273.170,1518.748,-166.655,48.950,30.866,-2.905,0.557,744467.626,9287366.109,
1550.120,6.760,272.420,1546.828,-194.735,49.109,27.596,0.023,0.251,744464.356,9287366.268,
1579.430,6.700,273.110,1575.936,-223.843,49.275,24.166,3.095,0.103,744460.926,9287366.433,
1607.930,7.920,277.250,1604.204,-252.111,49.613,20.557,6.405,1.398,744457.318,9287366.771,
1636.260,9.250,283.260,1632.217,-280.124,50.381,16.405,10.401,1.697,744453.165,9287367.540,
1665.050,10.010,284.040,1660.601,-308.508,51.519,11.725,15.038,0.804,744448.485,9287368.678,
1693.730,10.750,283.040,1688.811,-336.718,52.727,6.701,20.009,0.797,744443.461,9287369.886,
1723.400,11.770,282.650,1717.910,-365.817,54.014,1.053,25.563,1.034,744437.813,9287371.173,
1752.120,12.100,282.150,1746.009,-393.916,55.289,-4.748,31.244,0.361,744432.012,9287372.448,
1781.280,11.810,286.560,1774.537,-422.444,56.783,-10.596,37.074,0.986,744426.164,9287373.942,
1810.040,11.920,288.000,1802.683,-450.590,58.540,-16.242,42.855,0.329,744420.518,9287375.699,
1839.520,12.270,287.170,1831.508,-479.415,60.405,-22.131,48.902,0.398,744414.630,9287377.564,
1868.050,12.490,287.080,1859.375,-507.282,62.206,-27.976,54.880,0.232,744408.784,9287379.365,
1897.140,12.700,286.910,1887.765,-535.672,64.060,-34.042,61.076,0.220,744402.718,9287381.219,
1926.060,12.550,286.570,1915.985,-563.893,65.881,-40.095,67.245,0.174,744396.665,9287383.040,
1955.050,12.890,287.000,1944.264,-592.171,67.725,-46.207,73.475,0.365,744390.554,9287384.884,
1983.700,13.090,288.010,1972.181,-620.088,69.662,-52.348,79.777,0.317,744384.412,9287386.821,
2012.430,13.190,288.330,2000.159,-648.066,71.699,-58.553,86.185,0.129,744378.207,9287388.858,
2041.020,13.360,288.130,2027.985,-675.892,73.753,-64.789,92.626,0.185,744371.971,9287390.911,
2070.240,12.710,287.010,2056.452,-704.359,75.743,-71.071,99.078,0.716,744365.689,9287392.902,
2098.830,12.880,288.700,2084.332,-732.239,77.685,-77.097,105.282,0.431,744359.663,9287394.844,
2127.320,12.890,288.960,2112.104,-760.011,79.736,-83.110,111.528,0.062,744353.650,9287396.895,
2155.680,13.180,288.700,2139.733,-787.641,81.800,-89.164,117.816,0.313,744347.596,9287398.959,
2184.600,13.370,289.010,2167.881,-815.788,83.946,-95.449,124.346,0.210,744341.311,9287401.105,
2213.650,13.340,290.250,2196.145,-844.052,86.200,-101.768,130.959,0.297,744334.992,9287403.359,
2241.870,13.500,290.650,2223.595,-871.502,88.489,-107.905,137.430,0.197,744328.855,9287405.648,
2256.820,13.770,289.360,2238.123,-886.031,89.694,-111.217,140.907,0.816,744325.544,9287406.853,
2270.870,13.690,289.200,2251.772,-899.679,90.795,-114.364,144.190,0.189,744322.396,9287407.954,
2299.740,13.470,288.800,2279.835,-927.742,93.002,-120.774,150.858,0.249,744315.986,9287410.161,
2328.080,14.080,288.510,2307.359,-955.267,95.160,-127.167,157.489,0.650,744309.593,9287412.319,
2357.030,14.220,287.730,2335.431,-983.338,97.361,-133.893,164.430,0.245,744302.867,9287414.520,
2385.610,14.180,287.150,2363.138,-1011.045,99.462,-140.582,171.290,0.155,744296.178,9287416.621,
2417.170,13.830,287.220,2393.760,-1041.667,101.719,-147.879,178.756,0.333,744288.882,9287418.878,
2443.220,13.910,286.860,2419.050,-1066.957,103.549,-153.849,184.857,0.136,744282.911,9287420.708,
2472.180,13.980,286.940,2447.157,-1095.064,105.578,-160.527,191.672,0.075,744276.233,9287422.736,
2500.720,13.670,286.030,2474.870,-1122.777,107.513,-167.066,198.320,0.398,744269.694,9287424.672,
2530.050,13.990,287.330,2503.350,-1151.257,109.526,-173.781,205.160,0.456,744262.979,9287426.685,
2557.610,14.030,287.080,2530.090,-1177.997,111.500,-180.155,211.682,0.079,744256.605,9287428.659,
2586.590,13.610,289.370,2558.231,-1206.138,113.663,-186.729,218.473,0.714,744250.031,9287430.821,
2615.300,13.370,291.720,2586.149,-1234.056,116.011,-193.000,225.090,0.625,744243.760,9287433.170,
2643.890,13.510,294.170,2613.956,-1261.864,118.602,-199.118,231.692,0.615,744237.643,9287435.761,
2672.920,12.660,296.170,2642.232,-1290.140,121.394,-205.066,238.245,0.995,744231.694,9287438.552,
2701.950,11.760,299.630,2670.606,-1318.513,124.259,-210.493,244.380,1.198,744226.267,9287441.418,
2730.660,10.940,301.190,2698.754,-1346.661,127.117,-215.367,250.029,0.915,744221.393,9287444.275,
2759.630,10.540,303.370,2727.217,-1375.124,129.998,-219.931,255.420,0.590,744216.829,9287447.157,
2783.710,9.520,305.680,2750.929,-1398.836,132.371,-223.388,259.596,1.366,744213.372,9287449.529,
2803.000,8.710,307.920,2769.975,-1417.882,134.199,-225.836,262.626,1.375,744210.924,9287451.358,
