MD,INCL,AZIMUTH,TVD,TVDSS,N(+),E(+),VS,DL/100',UTM X,UTM Y
320.000,0.560,347.138,319.996,1032.096,0.545,-0.647,0.831,0.003,744436.113,9287317.704,
325.000,0.580,347.008,324.996,1027.097,0.593,-0.658,0.865,0.120,744436.102,9287317.752,
330.000,0.560,346.118,329.996,1022.097,0.642,-0.670,0.898,0.131,744436.090,9287317.801,
335.000,0.610,343.348,334.996,1017.097,0.691,-0.683,0.934,0.345,744436.077,9287317.850,
340.000,0.680,343.178,339.995,1012.097,0.745,-0.699,0.975,0.420,744436.061,9287317.904,
345.000,0.620,337.328,344.995,1007.098,0.798,-0.719,1.018,0.536,744436.042,9287317.957,
350.000,0.630,347.728,349.995,1002.098,0.850,-0.735,1.057,0.682,744436.025,9287318.009,
355.000,0.680,351.028,354.994,997.098,0.906,-0.745,1.094,0.376,744436.015,9287318.065,
360.000,0.690,349.728,359.994,992.099,0.965,-0.755,1.131,0.111,744436.005,9287318.124,
365.000,0.710,347.358,364.994,987.099,1.025,-0.767,1.171,0.211,744435.993,9287318.184,
370.000,0.790,341.538,369.993,982.100,1.088,-0.785,1.218,0.662,744435.975,9287318.247,
375.000,0.820,338.538,374.993,977.100,1.154,-0.809,1.271,0.310,744435.951,9287318.313,
380.000,0.840,336.128,379.992,972.101,1.221,-0.837,1.328,0.241,744435.923,9287318.380,
385.000,0.840,337.158,384.992,967.101,1.288,-0.866,1.386,0.091,744435.894,9287318.447,
390.000,0.850,337.708,389.991,962.102,1.356,-0.894,1.444,0.077,744435.866,9287318.515,
395.000,0.860,336.118,394.991,957.102,1.425,-0.924,1.503,0.154,744435.837,9287318.584,
400.000,0.850,336.268,399.990,952.103,1.493,-0.954,1.563,0.061,744435.806,9287318.652,
405.000,0.860,335.448,404.990,947.103,1.561,-0.984,1.623,0.095,744435.776,9287318.720,
410.000,0.850,336.438,409.989,942.104,1.629,-1.015,1.683,0.107,744435.745,9287318.788,
415.000,0.870,337.988,414.988,937.104,1.698,-1.044,1.742,0.184,744435.716,9287318.857,
420.000,0.880,336.178,419.988,932.105,1.769,-1.073,1.803,0.176,744435.687,9287318.928,
425.000,0.870,338.208,424.987,927.106,1.839,-1.103,1.863,0.195,744435.657,9287318.998,
430.000,0.860,337.858,429.987,922.106,1.909,-1.131,1.922,0.068,744435.629,9287319.068,
435.000,0.870,339.028,434.986,917.107,1.979,-1.159,1.981,0.122,744435.601,9287319.138,
440.000,0.890,337.158,439.986,912.107,2.051,-1.188,2.040,0.210,744435.572,9287319.209,
445.000,0.870,337.888,444.985,907.108,2.121,-1.217,2.101,0.138,744435.543,9287319.280,
450.000,0.880,339.698,449.984,902.108,2.193,-1.245,2.160,0.176,744435.515,9287319.351,
455.000,0.890,338.868,454.984,897.109,2.265,-1.272,2.219,0.098,744435.488,9287319.424,
460.000,0.900,338.018,459.983,892.110,2.338,-1.301,2.280,0.100,744435.459,9287319.496,
465.000,0.910,339.238,464.982,887.110,2.411,-1.329,2.341,0.130,744435.431,9287319.570,
470.000,0.930,340.398,469.982,882.111,2.486,-1.357,2.402,0.164,744435.403,9287319.645,
475.000,0.970,340.068,474.981,877.112,2.564,-1.385,2.464,0.242,744435.375,9287319.723,
480.000,0.990,339.718,479.980,872.112,2.645,-1.415,2.529,0.125,744435.346,9287319.804,
485.000,1.000,340.398,484.980,867.113,2.726,-1.444,2.595,0.093,744435.316,9287319.885,
490.000,1.010,341.178,489.979,862.114,2.809,-1.473,2.661,0.102,744435.287,9287319.968,
495.000,1.020,347.638,494.978,857.115,2.894,-1.497,2.724,0.689,744435.263,9287320.053,
500.000,1.030,343.718,499.977,852.115,2.981,-1.519,2.785,0.425,744435.241,9287320.140,
505.000,1.050,342.298,504.977,847.116,3.068,-1.545,2.851,0.196,744435.215,9287320.227,
510.000,1.080,343.438,509.976,842.117,3.157,-1.573,2.918,0.220,744435.187,9287320.315,
515.000,1.100,345.598,514.975,837.118,3.248,-1.598,2.985,0.274,744435.162,9287320.407,
520.000,1.160,349.058,519.974,832.119,3.344,-1.620,3.051,0.545,744435.140,9287320.503,
525.000,1.210,350.508,524.973,827.120,3.446,-1.638,3.117,0.350,744435.122,9287320.605,
530.000,1.230,351.448,529.972,822.121,3.551,-1.655,3.183,0.170,744435.105,9287320.710,
535.000,1.240,353.198,534.970,817.122,3.658,-1.669,3.248,0.234,744435.091,9287320.817,
540.000,1.270,354.048,539.969,812.124,3.767,-1.681,3.312,0.212,744435.079,9287320.926,
545.000,1.290,356.168,544.968,807.125,3.878,-1.691,3.375,0.308,744435.069,9287321.037,
550.000,1.310,357.518,549.967,802.126,3.991,-1.697,3.436,0.219,744435.063,9287321.150,
555.000,1.370,359.408,554.965,797.127,4.108,-1.700,3.496,0.447,744435.060,9287321.267,
560.000,1.420,2.098,559.964,792.129,4.230,-1.698,3.554,0.494,744435.062,9287321.389,
565.000,1.450,3.188,564.962,787.131,4.355,-1.693,3.610,0.243,744435.067,9287321.514,
570.000,1.510,6.298,569.961,782.132,4.484,-1.682,3.664,0.601,744435.078,9287321.643,
575.000,1.530,6.448,574.959,777.134,4.615,-1.667,3.716,0.122,744435.093,9287321.774,
580.000,1.540,6.858,579.957,772.136,4.749,-1.652,3.768,0.089,744435.108,9287321.907,
585.000,1.560,6.818,584.955,767.138,4.883,-1.636,3.819,0.120,744435.125,9287322.042,
590.000,1.570,6.998,589.953,762.139,5.018,-1.619,3.871,0.067,744435.141,9287322.177,
595.000,1.580,8.198,594.951,757.141,5.155,-1.601,3.922,0.207,744435.159,9287322.313,
600.000,1.600,7.148,599.950,752.143,5.292,-1.582,3.974,0.212,744435.178,9287322.451,
605.000,1.620,6.718,604.948,747.145,5.432,-1.566,4.027,0.140,744435.195,9287322.590,
610.000,1.640,6.688,609.946,742.147,5.573,-1.549,4.082,0.120,744435.211,9287322.732,
615.000,1.690,6.038,614.943,737.149,5.717,-1.533,4.139,0.321,744435.227,9287322.876,
620.000,1.680,0.888,619.941,732.152,5.864,-1.524,4.203,0.910,744435.236,9287323.023,
625.000,1.780,4.578,624.939,727.154,6.014,-1.517,4.270,0.898,744435.244,9287323.173,
630.000,1.860,6.778,629.936,722.156,6.172,-1.501,4.334,0.637,744435.259,9287323.331,
635.000,1.890,6.908,634.934,717.159,6.335,-1.481,4.397,0.182,744435.279,9287323.494,
640.000,1.910,6.738,639.931,712.162,6.499,-1.462,4.460,0.125,744435.299,9287323.658,
645.000,1.940,6.708,644.928,707.165,6.666,-1.442,4.525,0.180,744435.318,9287323.825,
650.000,1.970,7.768,649.925,702.168,6.835,-1.420,4.589,0.282,744435.340,9287323.994,
655.000,2.010,8.808,654.922,697.171,7.007,-1.395,4.652,0.323,744435.365,9287324.166,
