X,Y,Z,MD,Incl,Az GN,Az TN,DX,DY,DX TN,DY TN,TVD,TWT,DLS
m,m,m,m,deg,deg,deg,m,m,m,m,m,ms,deg/30m
741391.69,9288043.42,1103.229981,0,0,0,359.7552279,-0.000000009,0,,,0,,0
741391.6168,9288043.423,1073.230103,30,0.280000003,272.210004,271.9652319,-0.073249158,0.002826735,,,29.99987793,,0.280000003
741391.4624,9288043.425,1043.230469,60,0.310000008,269.7000188,269.4552467,-0.227654467,0.005228551,,,59.99951172,,0.032658075
741391.2948,9288043.423,1013.230957,90,0.330000003,268.579977,268.3352049,-0.395177558,0.002662687,,,89.99902344,,0.020954501
741391.1221,9288043.418,983.2314453,120,0.330000003,268.1400036,267.8952315,-0.567892176,-0.002282342,,,119.9985352,,0.002534045
741390.9362,9288043.392,953.2320557,150,0.389999986,257.1099857,256.8652136,-0.753768027,-0.027863132,,,149.9979248,,0.091404953
741390.7592,9288043.345,923.232605,180,0.310000008,252.7200046,252.4752325,-0.930790423,-0.074746966,,,179.9973755,,0.084317212
741390.5919,9288043.278,893.2331543,210,0.380000002,244.5800037,244.3352316,-1.098136425,-0.141557217,,,209.9968262,,0.085285579
741390.4065,9288043.2,863.2338257,240,0.389999986,249.2599947,249.0152226,-1.283472537,-0.220417157,,,239.9961548,,0.032987875
741390.2186,9288043.12,833.2344971,270,0.389999986,244.9400093,244.6952372,-1.471446753,-0.299820572,,,269.9954834,,0.029398015
741390.0324,9288043.03,803.2352295,300,0.399999997,243.4999869,243.2552148,-1.657652974,-0.389792532,,,299.994751,,0.014090233
741389.8542,9288042.917,773.2359619,330,0.410000008,231.8600058,231.6152337,-1.835790396,-0.502807498,,,329.9940186,,0.082736376
741389.6933,9288042.772,743.2368164,360,0.419999991,224.1000093,223.8552372,-1.996730209,-0.648058534,,,359.9931641,,0.057042421
741389.5513,9288042.595,713.2376709,390,0.44999997,213.7700039,213.5252318,-2.138734341,-0.824951291,,,389.9923096,,0.08382591
741389.4255,9288042.381,683.2386475,420,0.499999996,207.4400031,207.195231,-2.26453972,-1.039053798,,,419.991333,,0.072411515
741389.2773,9288042.11,653.2402954,450,0.680000027,209.579997,209.3352249,-2.41273737,-1.31004262,,,449.9896851,,0.181312563
741389.1191,9288041.78,623.2425537,480,0.720000016,201.8899963,201.6452242,-2.570888759,-1.639760971,,,479.9874268,,0.102009473
741388.9587,9288041.449,593.244751,510,0.690000011,209.950002,209.7052299,-2.731344938,-1.971176863,,,509.9852295,,0.103510952
741388.7859,9288041.103,563.2473145,540,0.79000001,203.529993,203.285221,-2.904093503,-2.317310572,,,539.982666,,0.129754931
741388.5665,9288040.715,533.2506714,570,0.920000014,214.6099942,214.3652221,-3.123456952,-2.705153704,,,569.9793091,,0.209746064
741388.2811,9288040.285,503.255127,600,1.049999965,212.7499971,212.505225,-3.408953667,-3.134557962,,,599.9748535,,0.133857455
741387.9796,9288039.842,473.2599487,630,0.999999992,215.6999968,215.4552247,-3.710416316,-3.578329802,,,629.9700317,,0.072681256
741387.6365,9288039.363,443.2657471,660,1.249999964,215.5599916,215.3152195,-4.053478242,-4.057121277,,,659.9642334,,0.250014896
741387.221,9288038.828,413.2734375,690,1.340000086,219.95,219.7052279,-4.469018458,-4.592228889,,,689.956543,,0.133891245
741386.6365,9288038.211,383.2855835,720,1.909999863,225.9299946,225.6852225,-5.053470614,-5.208873272,,,719.944397,,0.593925363
741385.8949,9288037.518,353.3027954,750,1.970000086,227.8799999,227.6352278,-5.795149802,-5.90243721,,,749.9271851,,0.089198263
741385.0888,9288036.79,323.3225098,780,2.180000015,227.9399963,227.6952242,-6.601251127,-6.630511284,,,779.9074707,,0.210011136
741384.1646,9288036.283,293.3414307,810,1.970000086,256.0599944,255.8152223,-7.525360106,-7.136985779,,,809.8885498,,1.02836399
741383.2209,9288035.752,263.3614502,840,2.300000036,227.4200003,227.1752283,-8.469101905,-7.668532372,,,839.8685303,,1.103254002
741382.3701,9288034.972,233.383728,870,2.109999968,227.5599919,227.3152198,-9.319925309,-8.448524475,,,869.8462524,,0.190076255
741381.5773,9288034.189,203.40448,900,2.150000117,223.1999953,222.9552232,-10.11271286,-9.231424332,,,899.8255005,,0.166866807
741380.9233,9288033.424,173.4214478,930,1.70000004,217.1499913,216.9052192,-10.76667023,-9.996332169,,,929.8085327,,0.493152693
741380.3828,9288032.7,143.4350586,960,1.750000013,216.3999956,216.1552235,-11.30723572,-10.71972179,,,959.7949219,,0.054859717
741379.9164,9288031.973,113.4475708,990,1.559999945,208.4499969,208.2052248,-11.7736063,-11.4474678,,,989.7824097,,0.297591685
741379.5031,9288031.269,83.4586792,1020,1.559999945,212.3999909,212.1552188,-12.18695259,-12.15129566,,,1019.771301,,0.107512457
741379.1004,9288030.548,53.47009277,1050,1.599999988,206.0399919,205.7952198,-12.58962441,-12.8723917,,,1049.759888,,0.17976515
741378.7723,9288029.717,23.48339844,1080,1.819999954,197.6199943,197.3752222,-12.91769409,-13.70274734,,,1079.746582,,0.33340179
741378.4584,9288028.763,-6.499755859,1110,2.020000059,198.7199962,198.4752242,-13.23159122,-14.657547,,,1109.729736,,0.203358238
741377.8148,9288027.706,-36.47375488,1140,2.789999941,220.469996,220.2252239,-13.87519646,-15.71378422,,,1139.703735,,1.181053463
741376.5194,9288026.465,-66.41931152,1170,4.090000091,230.159999,229.9152269,-15.17062473,-16.95468712,,,1169.649292,,1.41958926
741374.6955,9288024.986,-96.32702637,1200,4.889999658,231.6199929,231.3752209,-16.99446869,-18.43398475,,,1199.557007,,0.808058577
741372.5964,9288023.32,-126.2070313,1230,5.360000343,231.5099996,231.2652275,-19.09356499,-20.09994697,,,1229.437012,,0.470103162
741370.3737,9288021.533,-156.071167,1260,5.549999984,230.9100084,230.6652364,-21.3162899,-21.8867569,,,1259.301148,,0.198373712
741368.0913,9288019.659,-185.925415,1290,5.749999875,230.30999,230.0652179,-23.59870911,-23.76124382,,,1289.155396,,0.208538753
741365.7639,9288017.7,-215.770752,1320,5.88999997,229.5300097,229.2852376,-25.92614937,-25.72006798,,,1319.000732,,0.16079396
741363.355,9288015.648,-245.6033936,1350,6.219999706,229.6100049,229.3652328,-28.33499336,-27.77225113,,,1348.833374,,0.330107521
