X,Y,Z,MD,Incl,Az GN,Az TN,DX,DY,DX TN,DY TN,TVD,TWT,DLS
m,m,m,m,deg,deg,deg,m,m,m,m,m,ms,deg/30m
741376.6573,9288034.652,-131.0859375,1236.23999,4.969999956,238.0299889,237.7852102,-25.06270408,-19.21804046,,,1235.625977,,0.732646515
741374.6243,9288032.656,-160.7067871,1266,6.229999957,215.5599916,215.3152129,-27.0956993,-21.2145462,,,1265.246826,,2.525164414
741373.8908,9288028.782,-198.0360107,1303.550049,6.909999931,168.4600043,168.2152256,-27.82923317,-25.08794021,,,1302.57605,,4.216293158
741375.2951,9288025.391,-227.1831055,1332.930054,7.679999599,147.6499888,147.4052102,-26.42492866,-28.47869491,,,1331.723145,,2.792843316
741377.679,9288021.807,-255.6176758,1361.689941,9.540000129,145.3399915,145.0952129,-24.04102707,-32.06283951,,,1360.157715,,1.973067152
741380.7645,9288017.597,-284.2651367,1390.810059,11.11999962,142.4100043,142.1652256,-20.95548057,-36.27317429,,,1388.805176,,1.714863745
741384.6829,9288012.987,-312.4920654,1419.680054,13.10000059,137.2799995,137.0352208,-17.03713608,-40.88344955,,,1417.032105,,2.339865887
741389.3598,9288007.959,-340.512207,1448.530029,14.44000004,136.8800099,136.6352313,-12.36015701,-45.91127777,,,1445.052246,,1.396919314
741394.3593,9288002.302,-367.836792,1476.880005,16.45999946,139.9800006,139.7352219,-7.360661508,-51.5679245,,,1472.376831,,2.308576793
741400.2163,9287995.47,-395.5593262,1506.030029,19.50999994,138.8999974,138.6552187,-1.503728391,-58.40029144,,,1500.099365,,3.157509839
741407.4356,9287987.756,-422.6785889,1535.140015,23.0799998,135.1900025,134.9452239,5.715608596,-66.11413574,,,1527.218628,,3.930737326
741415.9876,9287979.31,-449.0230713,1564.099976,25.96999969,134.149997,133.9052183,14.26757526,-74.55966949,,,1553.56311,,3.026895889
741425.5521,9287969.816,-474.7645264,1593.160034,29.29999865,135.360006,135.1152273,23.83206749,-84.05384064,,,1579.304565,,3.486028737
741435.6456,9287959.468,-499.0437012,1621.420044,32.24000235,136.0399923,135.7952136,33.92559433,-94.40235138,,,1603.58374,,3.142749225
741446.9046,9287947.985,-523.7375488,1650.890015,33.91000068,135.1100074,134.8652287,45.18457031,-105.8854294,,,1628.277588,,1.776764113
741458.8294,9287936.41,-547.3293457,1679.75,36.41999958,133.2400109,132.9952322,57.10938263,-117.4599228,,,1651.869385,,2.8389304
741471.893,9287924.33,-570.1363525,1708.680054,39.50000167,132.3099986,132.06522,70.17301178,-129.5396118,,,1674.676392,,3.248457763
741485.5593,9287911.662,-592.3690186,1737.689941,40.43999962,133.3399912,133.0952125,83.8392868,-142.2080383,,,1696.909058,,1.18872013
